,b_ab,b_double,b_game,b_hit_by_pitch,b_home_run,b_rbi,b_strikeout,b_total_hits,b_total_sacrifices,b_triple,b_walk,player_id,r_run,r_total_stolen_base,year
0,0.9272687129160604,0.8698000279867922,0.7740368389186375,0.8154684080678829,0.663907912223934,1.136321887788546,0.7274000734694308,1.0196340520676992,1.856484225370416,-0.16181868498938834,0.4111413056225847,AdrianBeltre,0.5220274632057086,-0.4328316918862639,2018
1,-1.0991248836872622,-1.0964380634481397,-1.3552899980851771,-0.8053697280918102,-0.9100539771695874,-1.0989337159361654,-1.2332653382626353,-1.021384046150026,-1.1675890323214508,-0.6812566638053249,-0.9014243447625101,IchiroSuzuki,-0.9582206577172842,-0.5860168882429239,2018
2,1.1043828061924434,0.6988228026446243,1.0606769900537665,-0.26509034937191245,0.03432315646652547,0.7580478625428256,-0.30800750351267153,1.0009091153868028,1.4784750681589327,-0.6812566638053249,0.3264596507590302,VictorMartinez,-0.04988658351453859,-0.5860168882429239,2018
3,-0.4740163191823813,-0.2415519367372997,0.11885935060977147,0.545328718707934,-0.8051231845433526,-0.6174940474416122,-0.6384567302090872,-0.5345356924467154,-0.7895798751099676,-0.16181868498938834,-0.3086527607176286,ChaseUtley,-0.5208746219900362,-0.1264612991729437,2018
4,1.093964330117362,0.6133341899735403,0.7330882458993334,-0.26509034937191245,1.0836310827288729,1.101933340038935,0.04447167163017182,0.9447343053441132,-0.033561560687000835,-0.6812566638053249,0.1570963410319212,AlbertPujols,0.5556694659539584,-0.4328316918862639,2018
5,-1.0522417413493963,-0.9254608381059716,-1.1505470329886565,-0.8053697280918102,-0.7001923919171178,-0.9957680726873326,-0.9909359053519304,-0.9090344260646466,-1.1675890323214508,-0.6812566638053249,-0.5203568978765148,MattHolliday,-1.0255046632137836,-0.5860168882429239,2018
6,1.2033583289057164,1.2117544786711285,0.937831210995854,-0.26509034937191245,-0.2804692214121788,0.5517165760451601,0.5071005890051536,1.3754078490047341,0.3444475965244825,-0.16181868498938834,1.1309353719627977,JoeMauer,1.026657504429456,-0.5860168882429239,2018
7,-0.6302934603086014,-0.1560633240662157,-0.8843811783631796,-0.8053697280918102,-0.5952615992908831,-0.3423856654447246,-0.7926663693340811,-0.44091100904223257,-0.7895798751099676,-0.6812566638053249,-0.09694862355874233,MiguelCabrera,-0.5545166247382861,-0.5860168882429239,2018
8,-0.44797012899467786,-0.6689950000927196,-0.5567924342087467,-0.5352300387318613,-0.2804692214121788,-0.2048314744462809,-0.6384567302090872,-0.44091100904223257,-0.4115707178984842,-0.6812566638053249,-0.3933344155811831,AdrianGonzalez,-0.6218006302347857,-0.5860168882429239,2018
9,-1.2085188824756166,-1.0964380634481397,-1.4781357771430896,-0.8053697280918102,-0.8051231845433526,-1.0301566204369434,-1.2332653382626353,-1.1337336662354054,-1.1675890323214508,-0.6812566638053249,-0.8590835173307328,BrandonPhillips,-0.991862660465534,-0.5860168882429239,2018
10,-0.14062508477977798,-0.07057471139513173,0.5897681703317691,-0.8053697280918102,-0.4903308066646483,-0.5487169519423903,-0.5283069879769486,-0.3847361989995429,-0.7895798751099676,0.8770572726424849,-0.09694862355874233,JoseReyes,-0.11717058901103825,0.1799090935403765,2018
11,-0.3125299400186203,-0.3270405494083837,-0.2496779865639657,-0.8053697280918102,-0.8051231845433526,-0.4111627609439465,0.06650162007659953,-0.4596359457231292,-0.033561560687000835,-0.16181868498938834,-0.1816302784222968,JeffMathis,-0.6218006302347857,-0.5860168882429239,2018
12,1.5888419436837262,1.4682203166843804,1.3268428446792433,1.8960271655076781,1.2934926679813423,1.0331562445397129,2.0491969802550933,1.5813821524945963,-0.033561560687000835,-0.16181868498938834,2.866909296665665,Shin-SooChoo,1.6658555566462028,0.3330942898970366,2018
13,-0.8803368861105539,-0.7544836127638037,-0.98675266091144,-0.5352300387318613,-0.4903308066646483,-0.720659690690445,-0.6164267817626594,-0.8154097426601639,-1.1675890323214508,-0.6812566638053249,-0.8590835173307328,ReneRivera,-0.8572946494725345,-0.5860168882429239,2018
14,-0.9949401229364488,-0.7544836127638037,-1.0481755504403962,-0.8053697280918102,-0.9100539771695874,-0.9269909771881109,-1.0349958022447858,-0.9090344260646466,0.3444475965244825,-0.6812566638053249,-0.9014243447625101,ZackGreinke,-0.9245786549690342,-0.1264612991729437,2018
15,1.062708901892118,0.6133341899735403,0.8559340249572458,1.6258874761477289,1.1885618753551077,1.4458188175350446,0.06650162007659953,1.0570839254294924,1.1004659109474493,-0.6812566638053249,0.19943716846369844,YadierMolina,0.7238794796952076,0.02672389718371641,2018
16,0.2865324342985574,0.7843114153157082,-0.024460724957792973,0.2751890293479852,0.13925394909276026,0.6204936715443818,-0.35206740040552703,0.5702355717261818,-0.4115707178984842,-0.6812566638053249,0.3264596507590302,RobinsonCano,0.3538174494644594,-0.5860168882429239,2018
17,1.2762876614312857,0.2713797392892043,1.1425741760923749,1.3557477867877803,2.4477313868699246,2.5806408932722062,1.5204782175408282,1.1132587354721821,1.4784750681589327,-0.16181868498938834,1.6390253011441251,EdwinEncarnacion,1.3630775319119544,-0.1264612991729437,2018
18,0.3646710048616675,0.44235696463137225,0.8354597284475938,0.8154684080678829,0.4540463269714645,0.5517165760451601,1.0578493001658464,0.04593734466107805,-0.7895798751099676,-0.6812566638053249,1.8083886108712341,JoseBautista,0.6229534714504581,0.02672389718371641,2018
